dialog_id,image_id,turn_id,question_id,method_key,prediction,score,stored_legacy_score,scorer_disagreement,end_to_end_ttft_ms,request_e2e_ms,decode_ms,ssd_read_bytes,ssd_read_ms,normal_kv_preads,separator_preads,scatter_ms,first_k_planning_ms,selected_ratio,vision_forward_count,cache_hit
mtgqa_000001,n229548,1,20511412,recompute,Helicopter,1.0,1.0,False,609.132865909487,665.5785199254751,56.359493057243526,0,0.0,0,0,0.0,0.0,,1,False
mtgqa_000001,n229548,1,20511412,fullload,Helicopter,1.0,1.0,False,606.7689190385863,662.6492980867624,55.801237002015114,0,0.0,0,0,0.0,0.0,,1,False
mtgqa_000001,n229548,1,20511412,prefix25,Helicopter,1.0,1.0,False,606.8741739727557,663.8674590503797,56.90727708861232,0,0.0,0,0,0.0,0.0,,1,False
mtgqa_000001,n229548,1,20511412,prefix45,Helicopter,1.0,1.0,False,606.7750100046396,663.7214859947562,56.86461098957807,0,0.0,0,0,0.0,0.0,,1,False
mtgqa_000001,n229548,2,20511415,recompute,helicopter,1.0,1.0,False,619.0305580385029,675.1524700084701,56.04682303965092,0,0.0,0,0,0.0,0.0,,1,False
mtgqa_000001,n229548,2,20511415,fullload,helicopter,1.0,1.0,False,831.7937139654532,896.3320319307968,61.08154798857868,1333788672,516.749719157815,64,0,0.0,0.0,1.0,0,True
mtgqa_000001,n229548,2,20511415,prefix25,Helicopter,1.0,1.0,False,239.06895599793643,298.6242580227554,57.947568013332784,360710144,115.72021117899567,64,1,49.365345505066216,0.21843519061803818,0.25,0,True
mtgqa_000001,n229548,2,20511415,prefix45,Helicopter,1.0,1.0,False,428.41106303967535,486.9459200417623,58.37277800310403,629145600,228.82967558689415,64,1,87.79319399036467,0.36672467831522226,0.45,0,True
mtgqa_000001,n229548,3,20511418,recompute,Top,1.0,1.0,False,622.2274970496073,641.5347680449486,19.220120972022414,0,0.0,0,0,0.0,0.0,,1,False
mtgqa_000001,n229548,3,20511418,fullload,Top,1.0,1.0,False,821.7386240139604,841.8409579899162,19.972376991063356,1333788672,536.8706585140899,64,0,0.0,0.0,1.0,0,True
mtgqa_000001,n229548,3,20511418,prefix25,Top,1.0,1.0,False,318.00293491687626,338.5271260049194,19.62618005927652,360710144,142.83248968422413,64,1,62.560175778344274,0.30714087188243866,0.25,0,True
mtgqa_000001,n229548,3,20511418,prefix45,Top,1.0,1.0,False,454.31777695193887,474.4329339591786,19.94663302320987,629145600,240.55952858179808,64,1,91.40507923439145,0.38881623186171055,0.45,0,True
mtgqa_000002,n229548,1,20511438,recompute,Heavy,1.0,1.0,False,617.585203028284,656.4736010041088,38.793873973190784,0,0.0,0,0,0.0,0.0,,1,False
mtgqa_000002,n229548,1,20511438,fullload,Heavy,1.0,1.0,False,625.4574359627441,664.4101090496406,38.86649897322059,0,0.0,0,0,0.0,0.0,,1,False
mtgqa_000002,n229548,1,20511438,prefix25,Heavy,1.0,1.0,False,617.1656750375405,655.5235560517758,38.27462799381465,0,0.0,0,0,0.0,0.0,,1,False
mtgqa_000002,n229548,1,20511438,prefix45,Heavy,1.0,1.0,False,617.4285300076008,656.04745503515,38.532476988621056,0,0.0,0,0,0.0,0.0,,1,False
mtgqa_000002,n229548,2,20511439,recompute,Helicopter,1.0,1.0,False,628.073996049352,683.6347440257668,55.48012396320701,0,0.0,0,0,0.0,0.0,,1,False
mtgqa_000002,n229548,2,20511439,fullload,Helicopter,1.0,1.0,False,933.6299230344594,991.8200310785323,58.07276605628431,1333788672,606.9195847958326,64,0,0.0,0.0,1.0,0,True
mtgqa_000002,n229548,2,20511439,prefix25,Helicopter,1.0,1.0,False,308.0396209843457,378.8119649980217,68.98748397361487,360710144,139.45534324739128,64,1,62.113541178405285,0.2941344864666462,0.25,0,True
mtgqa_000002,n229548,2,20511439,prefix45,Helicopter,1.0,1.0,False,433.2113079726696,491.24762904830277,57.868996053002775,629145600,234.37922960147262,64,1,87.45425438974053,0.3833248047158122,0.45,0,True
mtgqa_000002,n229548,3,20511454,recompute,Yes,1.0,1.0,False,595.496961963363,615.1100730057806,19.524489995092154,0,0.0,0,0,0.0,0.0,,1,False
mtgqa_000002,n229548,3,20511454,fullload,Yes,1.0,1.0,False,707.0663830963895,727.4577300995588,20.260036922991276,1333788672,432.9525048378855,64,0,0.0,0.0,1.0,0,True
mtgqa_000002,n229548,3,20511454,prefix25,Yes,1.0,1.0,False,282.00608398765326,304.2307479772717,19.903806038200855,360710144,133.72975296806544,64,1,57.33573925681412,0.27425296138972044,0.25,0,True
mtgqa_000002,n229548,3,20511454,prefix45,Yes,1.0,1.0,False,437.3379999306053,459.87962291110307,20.197996054776013,629145600,234.5457065384835,64,1,89.78816994931549,0.3846647450700402,0.45,0,True
mtgqa_000003,n229548,1,20511455,recompute,Helicopter,1.0,1.0,False,583.0968100344762,640.3238410130143,57.14010796509683,0,0.0,0,0,0.0,0.0,,1,False
mtgqa_000003,n229548,1,20511455,fullload,Helicopter,1.0,1.0,False,583.0453629605472,639.0599099686369,55.93019200023264,0,0.0,0,0,0.0,0.0,,1,False
mtgqa_000003,n229548,1,20511455,prefix25,Helicopter,1.0,1.0,False,584.1470710001886,641.0422120243311,56.80688901338726,0,0.0,0,0,0.0,0.0,,1,False
mtgqa_000003,n229548,1,20511455,prefix45,Helicopter,1.0,1.0,False,582.8975680051371,639.4918170990422,56.50915508158505,0,0.0,0,0,0.0,0.0,,1,False
mtgqa_000003,n229548,2,20511456,recompute,Helicopter,1.0,1.0,False,621.9408919569105,678.6711589666083,56.64276808965951,0,0.0,0,0,0.0,0.0,,1,False
mtgqa_000003,n229548,2,20511456,fullload,Helicopter,1.0,1.0,False,835.1656519807875,905.3726450074464,70.09662792552263,1333788672,513.6706145713106,64,0,0.0,0.0,1.0,0,True
mtgqa_000003,n229548,2,20511456,prefix25,Helicopter,1.0,1.0,False,280.8883460238576,338.8261810177937,57.77778197079897,360710144,126.97648617904633,64,1,57.382232625968754,0.2671282272785902,0.25,0,True
mtgqa_000003,n229548,2,20511456,prefix45,Helicopter,1.0,1.0,False,465.3566770721227,522.9977160925046,57.46971792541444,629145600,245.1836832333356,64,1,93.3768538525328,0.3996333107352257,0.45,0,True
mtgqa_000003,n229548,3,20511450,recompute,helicopter,1.0,1.0,False,628.20301996544,685.0136639550328,56.72553402837366,0,0.0,0,0,0.0,0.0,,1,False
